"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_SDPR_2","HEK_Exosome_PRTF_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_SDPR_3","HEK_Exosome_PRTF_3","HEK_Exosome_CAV_3","HEK_Exosome_PN4.11_3","HEK_Exosome_PRKCA4_3"
"hsa-miR-590-3p",12,27,30,28,18,11,6,3,9,7,0,1,13,16,20
"hsa-miR-338-3p",3,2,0,0,3,0,0,0,0,1,0,0,2,0,6
"hsa-let-7f-2-5p",644,1017,279,1693,313,314,322,95,535,538,53,36,1533,681,1534
"hsa-miR-30c-2-3p",23,32,3,31,5,2,6,0,27,24,1,0,39,3,46
"hsa-miR-1254-1-5p",30,16,6,19,16,11,7,4,7,22,1,0,22,2,51
"hsa-miR-590-5p",3,0,0,4,0,3,0,0,1,0,0,0,4,0,0
"hsa-miR-4485-3p",6,12,1,17,1,1,6,0,21,7,8,0,292,21,429
"hsa-miR-1273d-3p",31,30,1,23,8,3,23,1,10,14,0,0,39,8,44
"hsa-miR-9-3-3p",107,89,4,60,29,5,14,2,9,15,1,1,53,4,36
"hsa-miR-8485-3p",19,0,1,39,0,0,53,0,37,35,8,0,34,0,21
"hsa-miR-4510-5p",1,1,0,1,0,1,0,0,1,0,0,0,1,1,1
"hsa-miR-548a-3-3p",5,13,0,7,1,1,7,0,3,4,0,0,5,0,1
"hsa-miR-195-5p",15,13,2,24,0,0,3,1,0,3,0,0,5,0,4
"hsa-miR-3176-3p",31,10,4,29,3,7,5,2,4,12,0,0,9,0,7
"hsa-miR-551b-5p",2,1,7,2,4,1,0,0,1,3,0,2,5,0,8
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-422a-5p",45,26,22,23,25,8,13,1,7,17,0,0,13,9,22
"hsa-miR-4474-3p",15,4,3,11,7,0,1,1,1,1,0,0,1,1,4
"hsa-miR-3653-5p",0,1,0,4,0,3,0,0,0,1,0,0,0,0,2
"hsa-miR-3135b-3p",26,20,3,11,7,3,21,0,7,10,1,0,21,0,4
"hsa-miR-20a-5p",17499,17476,4824,23259,5707,2997,15078,1115,6974,15157,161,94,16953,1342,12244
"hsa-miR-1255a-5p",4,1,2,3,0,1,0,0,0,6,0,0,0,0,6
"hsa-miR-320b-1-3p",1299,765,1224,731,1689,398,224,159,91,276,51,9,274,200,602
"hsa-miR-455-3p",0,4,0,7,1,0,0,0,0,0,0,0,6,1,6
"hsa-miR-18b-5p",8,4,3,8,2,2,0,0,1,2,0,0,4,1,1
"hsa-miR-486-2-3p",2,2,0,1,0,1,0,1,1,1,0,0,4,0,2
"hsa-miR-500b-5p",3,8,4,5,1,6,1,0,2,2,0,2,4,0,4
"hsa-miR-3929-3p",83,124,5,51,6,2,64,2,43,70,1,0,81,5,53
"hsa-miR-548ar-3p",8,6,0,7,7,1,5,0,0,4,0,0,3,3,4
"hsa-miR-30d-5p",2867,1661,1003,2906,1399,315,867,145,936,1094,57,108,3619,960,2895
"hsa-miR-205-5p",4,11,0,51,2,0,1,12,2,9,7,4,98,152,8
"hsa-miR-1275-5p",0,1,1,0,1,0,0,0,0,1,0,0,0,1,8
"hsa-miR-320d-2-3p",301,167,151,232,159,55,55,18,10,50,8,0,62,22,76
"hsa-miR-573-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"hsa-miR-548an-5p",36,9,4,14,8,0,5,1,1,2,0,0,5,0,4
"hsa-miR-204-5p",6,11,7,8,3,1,1,0,0,0,1,0,11,3,13
"hsa-miR-320b-2-3p",1423,868,1282,878,1747,414,280,172,157,361,55,11,363,235,765
"hsa-miR-342-3p",25,43,25,74,14,18,25,1,20,26,1,1,30,6,24
"hsa-miR-548h-3-3p",15,16,9,14,12,10,4,3,4,11,0,0,12,6,14
"hsa-miR-24-2-5p",3,2,2,7,1,1,0,1,0,2,0,0,10,5,4
"hsa-miR-29c-5p",0,1,0,1,2,0,0,0,0,0,0,0,1,0,3
"hsa-miR-219a-1-3p",6,2,9,2,1,1,0,0,0,4,0,0,4,3,5
"hsa-miR-664a-5p",4,2,2,5,1,3,2,0,0,1,0,0,5,0,7
"hsa-miR-23b-5p",7,1,0,3,7,0,0,0,0,3,1,0,5,2,2
"hsa-miR-744-3p",7,10,12,12,13,2,8,0,1,9,0,0,8,0,7
"hsa-miR-619-5p",24,41,1,29,8,5,25,3,17,18,2,1,39,2,47
"hsa-let-7d-3p",8,5,3,2,2,0,0,1,1,2,0,0,17,5,4
"hsa-miR-4473-5p",2,1,0,3,0,0,1,0,3,1,0,0,0,0,2
"hsa-miR-502-5p",0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-106a-5p",488,531,118,707,140,66,430,27,197,395,3,2,511,58,391
"hsa-miR-766-3p",1,1,0,4,0,2,1,0,2,0,1,0,0,3,0
"hsa-miR-1248-5p",0,0,1,1,0,0,0,0,0,0,0,0,0,1,5
"hsa-miR-1271-5p",21,15,4,31,2,7,13,0,2,9,1,0,18,3,25
"hsa-miR-15a-5p",165,114,11,104,22,9,18,2,11,22,2,0,93,5,47
"hsa-miR-1296-5p",25,19,28,21,31,18,3,5,4,7,1,0,20,7,38
"hsa-miR-5684-3p",9,16,0,9,2,5,10,1,7,9,0,0,26,3,26
"hsa-miR-93-5p",7912,8812,1497,9380,1750,1442,4789,303,2746,5165,67,44,5228,394,4746
"hsa-miR-3929-5p",8,14,2,6,2,2,16,0,7,7,0,0,23,0,17
"hsa-miR-502-3p",925,873,266,615,312,105,118,16,56,131,7,0,209,34,161
"hsa-miR-3677-3p",4,0,0,4,3,2,2,0,1,1,0,0,3,0,8
"hsa-miR-561-5p",21,5,13,22,34,20,8,1,10,2,1,0,13,8,29
"hsa-miR-151a-5p",31,16,48,160,111,58,7,15,12,21,7,2,63,54,46
"hsa-miR-7641-1-3p",100,223,38,255,73,47,460,18,476,218,24,0,207,36,141
"hsa-miR-9-2-3p",26,22,4,22,9,1,6,1,4,4,0,1,21,5,16
"hsa-miR-130a-5p",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"hsa-miR-584-5p",5,10,1,9,0,1,2,1,1,2,0,1,7,12,1
"hsa-miR-423-5p",1256,936,1138,806,1545,537,293,203,126,370,44,16,396,232,583
"hsa-miR-500a-3p",956,990,298,720,377,126,144,19,63,150,7,3,258,30,214
"hsa-miR-200c-3p",9,12,13,66,12,6,11,1,6,3,14,2,19,1,13
"hsa-miR-629-5p",4882,3132,1642,2872,2625,686,580,174,365,542,25,2,639,169,749
"hsa-let-7i-5p",216,173,46,346,36,46,65,30,52,78,6,12,224,131,174
"hsa-miR-135b-5p",0,0,0,1,0,0,0,0,0,0,0,0,6,7,0
"hsa-miR-548ad-5p",49,28,9,39,17,14,16,0,3,18,0,0,18,1,23
"hsa-miR-486-1-5p",103,60,32,62,42,19,8,4,18,15,0,0,125,14,121
"hsa-miR-330-3p",48,56,39,55,60,36,33,11,23,49,5,2,92,21,89
"hsa-miR-23a-3p",83,135,30,112,24,17,23,12,21,41,2,1,122,38,86
"hsa-miR-1273a-5p",51,44,9,54,19,26,31,3,27,58,3,3,80,14,103
"hsa-miR-7976-5p",7,2,0,5,1,1,0,0,2,1,0,0,1,0,7
"hsa-miR-374b-3p",4,13,0,13,15,2,0,1,9,1,1,1,20,5,11
"hsa-miR-5683-5p",0,2,0,4,0,2,3,0,1,0,0,0,0,0,0
"hsa-miR-548ay-5p",71,40,21,62,28,19,28,0,11,39,2,0,31,3,44
"hsa-miR-450a-2-5p",75,52,68,62,150,52,15,12,9,14,21,0,74,80,93
"hsa-miR-628-5p",9,12,6,5,4,1,8,0,3,1,0,0,6,0,6
"hsa-miR-21-5p",4867,6170,3168,12937,4029,2371,1214,1151,1575,2257,1248,315,15862,9702,5826
"hsa-miR-365b-3p",36,35,7,19,17,2,7,0,1,3,0,0,11,14,6
"hsa-miR-1973-3p",0,1,1,0,0,0,1,0,0,0,0,0,11,0,27
"hsa-let-7f-2-3p",9,3,18,1,18,1,1,3,1,1,0,0,4,1,6
"hsa-miR-1260b-5p",12,12,4,8,1,1,3,1,11,7,0,1,10,4,25
"hsa-miR-6747-3p",17,8,1,9,2,1,2,0,2,4,0,0,29,4,32
"hsa-miR-181d-5p",96,92,41,51,61,27,23,3,6,27,6,0,49,9,60
"hsa-miR-129-2-5p",134,71,56,34,105,13,18,12,6,13,0,0,18,8,23
"hsa-miR-582-3p",41,52,49,62,63,32,16,12,8,26,3,2,27,13,32
"hsa-miR-1307-3p",575,394,415,366,574,155,136,55,137,157,31,5,458,217,788
"hsa-miR-365a-3p",36,35,7,19,17,2,7,0,1,3,0,0,11,14,6
"hsa-miR-3691-5p",4,1,1,4,1,3,1,0,2,0,1,0,3,0,6
"hsa-miR-1226-3p",4,4,3,8,6,1,1,0,13,5,0,0,69,9,28
"hsa-miR-1273c-3p",13,12,12,5,13,6,7,2,2,5,0,0,12,1,10
"hsa-miR-708-3p",77,33,58,45,72,14,9,14,11,21,6,0,56,26,79
"hsa-miR-10b-3p",152,109,4,55,13,10,8,2,9,25,1,0,47,2,37
"hsa-miR-18a-3p",45,38,9,33,19,2,12,4,6,7,1,0,39,4,29
"hsa-miR-548e-3p",153,121,41,103,45,28,62,13,15,52,1,0,89,12,68
"hsa-miR-27a-5p",2,9,2,49,4,2,5,0,8,9,0,0,4,3,9
"hsa-miR-320c-1-3p",801,450,498,464,624,130,118,60,37,126,19,3,125,70,212
"hsa-miR-152-3p",436,369,61,431,102,35,69,9,28,54,3,0,120,11,112
"hsa-miR-937-3p",13,3,5,4,1,1,0,0,3,0,0,0,10,1,6
"hsa-miR-6126-5p",1,4,1,1,3,0,3,1,1,2,6,0,26,3,45
"hsa-miR-574-5p",39,53,84,31,119,30,3,6,0,5,2,1,12,11,30
"hsa-miR-760-3p",170,127,132,110,237,22,22,19,12,43,6,0,62,42,98
"hsa-miR-1285-1-3p",33,36,19,48,21,15,10,2,15,16,2,0,21,7,25
"hsa-miR-148a-3p",47900,45729,38130,39430,59973,11338,6094,4988,1221,4484,2415,188,23979,7554,27288
"hsa-miR-99b-5p",3597,2109,681,1708,1177,266,414,82,436,589,68,13,2850,450,2306
"hsa-miR-935-3p",4,4,3,4,7,2,3,1,1,1,1,1,6,0,1
"hsa-miR-548j-5p",2,1,0,2,7,0,3,0,2,2,0,0,3,1,4
"hsa-miR-22-5p",24,31,8,7,21,18,10,5,8,14,2,0,9,4,13
"hsa-miR-92a-1-5p",17,20,16,30,14,2,6,1,15,7,2,1,45,6,84
"hsa-miR-548ab-5p",29,26,6,16,8,8,8,0,4,11,2,1,20,7,9
"hsa-miR-3065-5p",4,3,0,3,2,6,0,0,2,1,0,0,10,0,3
"hsa-miR-548u-3p",10,4,5,8,10,4,5,3,4,8,0,0,3,1,9
"hsa-miR-296-5p",19,14,10,13,12,2,2,0,3,9,0,0,7,3,3
"hsa-miR-19a-3p",396,248,222,339,274,110,102,20,56,76,8,4,182,36,173
"hsa-miR-1301-3p",124,108,57,180,40,11,22,5,26,38,2,1,69,0,54
"hsa-miR-361-5p",556,404,55,283,89,18,82,11,91,106,2,1,201,14,147
"hsa-miR-183-5p",690,860,237,940,233,197,237,38,299,347,17,15,1129,195,890
"hsa-miR-1226-5p",5,3,3,8,3,5,0,2,2,4,1,0,6,2,26
"hsa-miR-128-2-3p",5388,2967,2708,2924,5479,640,670,343,457,934,473,30,4364,2153,5767
"hsa-miR-7-1-3p",5,12,0,5,0,0,3,0,2,3,0,0,5,0,6
"hsa-miR-454-5p",25,35,11,29,23,2,10,2,15,11,0,0,53,6,38
"hsa-miR-181a-1-5p",726,612,258,607,488,228,185,45,154,287,35,9,534,191,648
"hsa-miR-30c-1-3p",1,2,1,4,0,1,2,1,1,0,0,0,3,0,6
"hsa-miR-628-3p",6,7,3,6,2,0,5,0,4,2,0,0,11,0,9
"hsa-miR-301a-5p",15,23,10,26,15,12,4,3,6,8,3,0,15,10,24
"hsa-miR-2110-3p",9,6,4,9,3,0,2,0,1,1,1,0,29,4,15
"hsa-miR-3928-3p",18,10,2,7,1,2,7,3,2,9,1,0,14,0,7
"hsa-miR-409-3p",7,3,6,3,2,3,2,0,3,2,0,0,6,2,19
"hsa-miR-222-5p",1,2,5,8,2,0,3,0,2,5,1,0,20,1,29
"hsa-miR-4664-3p",14,3,12,4,19,14,2,2,2,1,1,0,4,2,14
"hsa-let-7e-5p",46,106,60,111,50,15,16,11,32,45,5,3,115,68,152
"hsa-miR-532-5p",2960,2287,2380,1771,3231,1257,659,466,371,794,145,30,1536,901,2079
"hsa-miR-574-3p",4,14,2,6,3,4,3,1,2,3,0,0,8,0,1
"hsa-miR-500a-5p",3,8,4,5,1,6,1,0,2,2,0,2,4,0,4
"hsa-miR-383-5p",1,2,2,1,5,0,0,0,3,2,0,0,0,0,1
"hsa-miR-3687-2-3p",3,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"hsa-miR-6131-3p",495,464,60,481,168,210,657,9,320,483,10,3,354,31,401
"hsa-miR-3613-5p",73,107,134,117,177,80,20,12,29,30,13,1,90,53,75
"hsa-miR-3611-3p",0,6,2,7,1,0,6,0,1,2,1,0,4,0,3
"hsa-miR-10a-5p",24086,16679,11541,17124,19367,4108,2750,1320,3394,5166,1236,289,18084,7490,19960
"hsa-miR-331-3p",27,13,11,28,13,2,3,1,5,5,1,1,13,7,18
"hsa-miR-378d-2-5p",300,111,214,170,161,78,74,24,43,63,5,0,94,36,153
"hsa-miR-29a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-365a-5p",2,2,1,2,0,4,1,0,0,0,0,0,3,0,1
"hsa-miR-3913-2-5p",2,2,0,2,4,2,0,2,0,1,0,0,3,0,1
"hsa-miR-6500-3p",10,6,2,5,3,10,2,1,1,3,0,0,3,0,0
"hsa-miR-4419a-3p",29,22,0,13,4,1,11,0,8,9,0,0,19,1,19
"hsa-miR-186-5p",979,818,569,977,784,506,507,168,325,454,46,10,851,285,1256
"hsa-miR-217-5p",47,33,11,46,18,9,6,0,2,3,0,0,8,1,7
"hsa-miR-3934-5p",8,3,0,1,1,2,1,0,0,1,0,0,0,0,2
"hsa-miR-331-5p",58,50,12,25,8,2,13,2,7,8,1,0,20,7,26
"hsa-miR-24-2-3p",3052,2295,465,2213,584,86,307,91,92,247,19,6,577,183,433
"hsa-miR-1276-5p",10,5,0,3,3,0,0,0,0,1,0,0,10,1,2
"hsa-miR-199a-1-5p",1,4,2,4,0,1,2,0,1,0,0,0,1,0,5
"hsa-miR-548g-5p",5,4,0,3,0,2,1,1,0,2,0,0,2,2,2
"hsa-miR-1268a-5p",3,4,0,4,0,3,2,0,5,4,0,0,9,2,17
"hsa-miR-522-3p",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-375-3p",31,11,22,54,21,8,7,5,2,6,13,6,31,24,18
"hsa-miR-548aq-3p",15,16,9,14,12,9,4,3,4,11,0,0,12,6,15
"hsa-miR-4497-5p",11,104,8,50,13,13,27,13,25,71,2,0,30,8,47
"hsa-miR-598-3p",76,90,45,68,72,23,25,9,19,28,3,0,49,18,69
"hsa-let-7c-5p",116,146,86,157,112,76,42,21,39,67,12,6,111,59,246
"hsa-miR-4459-3p",5,8,1,1,3,4,4,1,3,4,2,0,18,4,23
"hsa-miR-25-5p",16,39,23,54,11,5,10,3,14,21,0,0,67,11,85
"hsa-miR-421-3p",233,170,96,228,96,19,63,16,41,62,3,0,200,21,134
"hsa-miR-4677-3p",15,16,3,13,7,1,1,0,0,2,0,0,13,6,7
"hsa-miR-93-3p",36,33,7,34,8,3,15,1,13,11,0,0,54,5,51
"hsa-miR-5585-3p",3,9,3,5,0,0,6,0,3,2,0,0,10,3,6
"hsa-miR-98-5p",12,24,4,47,2,3,5,5,8,8,5,1,38,19,30
"hsa-miR-556-5p",1,2,0,1,0,0,0,0,1,1,0,0,1,0,1
"hsa-let-7a-1-3p",84,52,57,49,136,15,9,14,14,22,8,2,69,49,48
"hsa-miR-149-5p",20,44,14,20,22,2,7,2,13,16,2,0,50,12,49
"hsa-miR-151b-3p",12,5,12,26,24,16,2,3,1,7,2,1,13,6,6
"hsa-miR-33a-5p",8,12,13,17,11,3,5,0,3,6,1,0,5,6,14
"hsa-miR-3909-3p",9,6,1,5,2,0,7,0,1,1,0,0,13,1,13
"hsa-miR-28-5p",69,86,11,122,16,10,28,7,14,56,0,0,100,13,75
"hsa-miR-185-5p",272,333,91,404,89,68,191,34,108,257,5,3,248,51,345
"hsa-let-7f-1-3p",0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"hsa-miR-374a-3p",18,17,39,34,54,37,4,6,7,13,4,0,32,29,42
"hsa-miR-378c-5p",6604,3330,1847,3963,2781,1392,1610,426,730,1649,103,11,1893,776,2974
"hsa-miR-10a-3p",741,393,94,306,173,26,58,22,46,103,9,1,233,53,202
"hsa-miR-1307-5p",101,40,103,59,117,25,18,21,9,21,7,2,49,56,112
"hsa-miR-31-5p",137,175,45,222,22,26,22,4,45,50,0,0,149,39,123
"hsa-miR-6868-3p",3,4,3,0,4,0,0,0,0,0,0,0,1,0,1
"hsa-miR-378f-3p",109,49,41,68,36,11,21,5,9,17,2,0,47,20,54
"hsa-miR-320e-3p",346,201,68,288,97,12,59,10,7,59,10,2,86,19,64
"hsa-miR-374b-5p",45,119,59,170,40,46,29,11,46,43,4,4,100,47,73
"hsa-miR-1910-5p",7,2,1,1,1,0,0,0,1,0,0,0,10,1,3
"hsa-miR-6723-3p",1,1,0,2,0,8,3,0,12,0,0,0,3,1,20
"hsa-let-7b-3p",0,3,1,3,0,0,0,0,1,0,0,0,3,2,0
"hsa-miR-193b-3p",16,29,16,23,26,13,6,3,6,6,1,0,8,7,11
"hsa-miR-378i-5p",1913,1225,671,1283,1117,530,451,127,270,440,45,10,679,324,947
"hsa-miR-4284-5p",0,1,1,1,0,0,0,0,0,1,0,0,5,2,8
"hsa-miR-543-3p",3,1,2,1,12,1,0,1,0,0,1,0,14,5,16
"hsa-miR-4461-3p",3,8,1,9,0,14,7,1,17,8,0,0,38,4,62
"hsa-miR-218-1-5p",5087,8260,6694,6579,7666,7604,2063,2467,1302,1839,790,170,3660,2764,6808
"hsa-miR-21-3p",20,15,10,61,27,5,4,1,3,3,3,0,21,19,9
"hsa-miR-193b-5p",10,11,15,4,9,1,2,1,0,0,0,0,9,2,4
"hsa-miR-548d-1-3p",4,2,1,2,0,2,1,0,2,2,1,0,9,0,8
"hsa-miR-130b-5p",84,32,29,30,29,4,15,6,21,24,8,0,313,48,249
"hsa-miR-29c-3p",30,15,18,19,21,5,5,0,2,6,0,0,6,3,7
"hsa-miR-4286-5p",1,2,3,16,4,3,3,0,2,2,0,0,4,4,8
"hsa-miR-625-3p",86,47,8,62,13,10,21,1,22,14,1,2,55,5,47
"hsa-miR-24-1-3p",3054,2296,473,2214,590,88,308,93,93,247,19,6,577,184,433
"hsa-miR-3648-2-3p",2,6,10,3,13,54,9,10,11,24,4,0,11,2,69
"hsa-miR-7641-2-5p",112,282,120,250,126,199,214,54,171,317,20,0,210,60,202
"hsa-miR-424-5p",365,204,41,175,77,5,26,4,14,34,0,1,102,17,78
"hsa-miR-548am-3p",4,3,0,6,4,2,1,1,2,4,0,0,0,1,1
"hsa-miR-652-3p",205,152,64,183,55,47,32,18,29,61,1,1,84,13,99
"hsa-miR-138-1-5p",10,13,14,15,6,6,5,3,0,1,0,0,3,0,6
"hsa-miR-3913-1-5p",2,2,0,2,4,2,0,2,0,1,0,0,3,0,2
"hsa-miR-3912-3p",4,4,0,1,4,0,1,1,5,4,1,0,1,4,6
"hsa-miR-128-1-5p",3,2,0,6,0,0,2,1,2,1,0,0,5,0,7
"hsa-miR-4683-3p",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-629-3p",1,1,2,1,0,2,1,0,1,1,0,0,7,0,1
