"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_PRTF_2","HEK_Exosome_SDPR_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_PRTF_3","HEK_Exosome_SDPR_3"
"hsa-let-7f-1-5p",626,989,277,1658,311,315,309,95,526,529,34,52
"hsa-miR-548o-2-3p",58,67,48,62,61,45,57,21,22,44,0,3
"hsa-miR-27a-3p",749,479,196,538,261,80,129,53,62,126,6,20
"hsa-miR-874-3p",18,11,3,11,13,5,3,1,3,2,1,0
"hsa-miR-188-5p",26,22,7,11,3,2,6,2,4,8,0,1
"hsa-miR-3118-2-3p",26,3,4,7,4,1,0,1,0,1,1,0
"hsa-miR-1224-5p",11,4,7,5,5,3,1,0,1,0,0,1
"hsa-miR-378d-1-3p",299,112,258,173,178,69,71,28,44,59,0,7
"hsa-miR-1246-5p",41204,35111,11208,17921,26183,12718,17737,3355,5716,19667,36,1966
"hsa-miR-374a-5p",36,22,9,39,27,9,13,4,7,12,1,1
"hsa-miR-335-5p",9,7,2,3,1,1,0,0,0,1,0,0
"hsa-miR-212-5p",19,12,12,17,37,2,4,3,3,5,0,1
"hsa-miR-23b-3p",54,63,18,83,23,16,15,6,24,24,1,1
"hsa-miR-143-3p",74,58,123,127,50,33,78,9,84,80,2,4
"hsa-miR-320c-2-3p",432,259,229,302,283,79,55,31,21,80,2,12
"hsa-miR-6087-3p",23,25,5,17,18,13,8,4,25,26,0,4
"hsa-miR-641-5p",15,17,5,20,17,7,8,0,19,18,0,1
"hsa-miR-550a-2-5p",12,15,1,11,9,2,3,1,8,3,0,0
"hsa-miR-1303-5p",13,9,5,22,6,8,4,1,16,14,0,0
"hsa-miR-148b-3p",4224,3228,1480,4225,2071,607,889,255,179,459,23,78
"hsa-miR-4459-5p",16,17,3,18,1,2,2,1,3,12,0,1
"hsa-miR-135b-3p",0,1,0,0,0,0,0,0,0,0,0,0
"hsa-let-7g-5p",381,618,157,874,150,292,194,52,329,415,16,15
"hsa-miR-4516-5p",1,4,5,4,8,2,3,0,3,2,0,3
"hsa-miR-346-5p",21,15,4,10,5,1,0,0,0,2,0,0
"hsa-miR-873-3p",5,0,0,1,0,1,0,0,0,0,0,0
"hsa-miR-328-3p",223,124,34,64,145,15,9,12,9,15,0,23
"hsa-miR-222-3p",556,500,188,441,213,54,81,12,101,112,5,16
"hsa-miR-708-5p",132,91,19,147,27,47,12,5,22,53,3,0
"hsa-miR-9-1-5p",318,338,345,331,799,64,261,69,54,102,12,33
"hsa-miR-148b-5p",7,7,2,20,17,8,7,0,5,10,0,1
"hsa-miR-548h-5-5p",9,12,11,14,26,6,6,6,1,7,0,3
"hsa-miR-27b-3p",1757,1431,466,1707,481,377,411,115,257,493,17,25
"hsa-miR-378g-5p",51,21,18,25,23,5,8,3,6,17,0,1
"hsa-miR-1262-5p",14,13,4,5,8,5,3,0,2,3,0,0
"hsa-miR-1273f-5p",63,43,10,28,26,24,23,15,17,42,0,8
"hsa-miR-548d-1-5p",67,38,16,52,25,28,18,0,8,34,0,1
"hsa-miR-203a-3p",79,32,8,91,27,12,10,10,9,19,2,6
"hsa-miR-19b-2-3p",553,301,303,466,304,149,184,20,128,118,7,9
"hsa-miR-592-5p",90,32,82,69,79,6,2,3,5,1,0,1
"hsa-miR-181a-1-3p",21,15,24,28,43,1,17,4,9,11,0,3
"hsa-miR-618-5p",17,9,11,31,14,2,2,1,4,12,0,0
"hsa-miR-1180-3p",619,264,488,297,699,94,108,76,59,120,1,37
"hsa-miR-548x-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-566-3p",33,23,7,31,16,19,4,3,8,30,0,1
"hsa-miR-148a-5p",57,43,37,36,38,10,37,4,11,18,3,7
"hsa-miR-194-1-5p",30,18,6,109,7,16,1,4,12,7,0,1
"hsa-let-7a-1-5p",896,1459,471,1460,582,282,284,102,447,579,29,77
"hsa-miR-548h-3-5p",10,12,11,14,26,6,6,6,1,7,0,3
"hsa-let-7a-3-5p",907,1458,472,1466,584,287,290,103,450,582,29,77
"hsa-miR-210-3p",202,217,69,216,104,26,19,8,14,39,0,3
"hsa-miR-181a-2-3p",26,36,3,19,19,7,4,2,5,5,0,1
"hsa-miR-29b-2-3p",19,19,13,75,6,5,9,1,3,8,0,2
"hsa-miR-548k-5p",17,18,22,31,25,7,14,6,10,16,1,2
"hsa-miR-99a-5p",10562,3625,2873,2679,6091,839,605,399,511,1049,18,419
"hsa-miR-3118-4-3p",26,3,4,7,4,1,0,1,0,1,1,0
"hsa-miR-566-5p",11,12,1,4,1,11,6,1,2,4,0,0
"hsa-miR-16-2-3p",841,779,348,581,591,180,238,50,207,267,3,50
"hsa-miR-151a-3p",1401,750,497,1402,648,373,297,117,273,409,19,32
"hsa-miR-125b-1-5p",565,460,106,489,144,74,16,14,23,72,5,7
"hsa-miR-3118-1-3p",26,3,4,7,4,1,0,1,0,1,1,0
"hsa-miR-324-5p",11,21,11,25,17,10,6,3,3,5,0,0
"hsa-miR-221-5p",25,33,17,61,16,3,18,0,10,9,0,1
"hsa-miR-3177-3p",22,22,28,21,34,6,15,5,5,9,0,3
"hsa-miR-877-5p",8,6,11,24,11,2,5,2,6,3,2,1
"hsa-miR-140-5p",231,204,29,161,37,47,13,6,32,52,1,1
"hsa-miR-4421-3p",10,15,7,11,5,3,2,3,5,3,0,0
"hsa-miR-199b-3p",54,48,11,47,19,15,5,4,9,18,0,1
"hsa-miR-450b-5p",306,190,102,210,190,43,35,7,17,35,0,3
"hsa-miR-30c-2-5p",650,884,288,996,356,171,189,18,370,361,23,20
"hsa-miR-744-5p",318,361,86,501,74,87,30,12,90,110,1,7
"hsa-miR-107-3p",2050,1596,463,1495,772,205,115,37,165,188,9,24
"hsa-let-7d-5p",6,39,11,48,12,1,7,4,7,12,0,3
"hsa-miR-548d-2-5p",67,38,16,52,25,28,18,0,8,34,0,1
"hsa-miR-26b-5p",497,686,154,755,165,174,164,38,199,307,15,35
"hsa-miR-548ae-2-5p",43,28,10,36,13,18,11,0,2,19,0,0
"hsa-miR-378a-3p",12218,6997,4251,7781,5650,2834,2796,791,1629,3194,50,178
"hsa-miR-378a-5p",82,37,28,64,25,14,7,2,9,13,0,1
"hsa-miR-1268b-5p",2,5,0,3,0,1,3,0,5,4,0,0
"hsa-miR-181b-2-5p",891,613,276,512,412,202,144,42,147,245,3,13
"hsa-miR-181a-2-5p",726,609,258,606,488,185,228,45,154,287,9,35
"hsa-miR-1306-3p",56,68,51,62,93,10,12,10,0,5,1,2
"hsa-miR-26a-1-5p",2348,3617,1655,3775,1810,659,630,219,952,1490,90,153
"hsa-miR-30e-3p",84,109,78,168,183,27,104,23,44,56,0,12
"hsa-miR-1-1-3p",14,17,4,8,8,7,9,2,3,12,0,0
"hsa-miR-15b-5p",468,412,36,309,78,62,11,6,28,53,0,3
"hsa-miR-1273e-5p",53,59,12,50,20,47,28,7,27,66,2,4
"hsa-miR-5096-3p",380,505,34,328,65,276,73,12,169,241,0,9
"hsa-miR-196b-5p",1177,854,263,754,461,204,229,27,171,203,5,34
"hsa-miR-3651-3p",2,13,0,5,1,0,1,0,0,1,0,0
"hsa-miR-6842-3p",0,2,0,1,0,0,0,0,0,0,0,0
"hsa-miR-196a-2-3p",13,9,7,4,4,8,4,1,2,6,0,0
"hsa-miR-139-5p",9,0,1,9,6,0,1,0,3,3,0,0
"hsa-miR-99b-3p",288,212,171,155,222,61,108,32,62,97,0,11
"hsa-miR-941-4-3p",74,36,78,97,71,18,40,2,30,20,0,3
"hsa-miR-452-3p",23,10,9,13,12,4,0,0,3,4,0,0
"hsa-miR-4470-3p",10,6,8,9,9,1,0,0,0,7,0,0
"hsa-miR-339-3p",127,91,17,76,27,22,16,3,14,24,0,3
"hsa-miR-3648-1-3p",2,6,10,3,13,9,54,10,11,24,0,4
"hsa-miR-19b-1-3p",554,303,303,466,304,148,184,20,129,118,7,9
"hsa-miR-9-1-3p",26,22,3,22,9,6,1,1,4,4,1,0
"hsa-miR-1273a-3p",95,144,7,101,11,73,5,5,56,58,0,0
"hsa-miR-339-5p",228,211,134,204,185,25,28,22,35,52,3,2
"hsa-miR-5096-5p",592,1189,12,835,43,754,35,3,388,487,0,3
"hsa-miR-1290-3p",32,19,13,6,25,4,8,3,3,12,0,4
"hsa-miR-182-5p",716,1046,231,1136,260,295,230,30,483,454,24,16
"hsa-miR-1285-2-3p",30,27,18,38,16,8,14,2,11,9,0,0
"hsa-miR-7706-3p",280,131,100,175,200,46,18,40,29,61,3,6
"hsa-miR-941-3-3p",74,36,78,97,71,18,40,2,30,20,0,3
"hsa-miR-671-3p",15,11,1,3,9,0,1,3,2,2,0,1
"hsa-miR-450a-1-5p",75,52,68,62,150,15,52,12,9,14,0,21
"hsa-miR-577-5p",51,47,7,81,20,24,27,0,30,35,0,0
"hsa-miR-576-3p",214,196,71,150,140,51,33,15,17,55,0,3
"hsa-miR-92b-3p",377,269,173,166,319,48,72,19,47,48,2,13
"hsa-miR-664a-3p",1,2,1,0,0,0,2,0,0,0,0,0
"hsa-miR-340-3p",26,28,25,29,37,13,8,3,8,14,2,2
"hsa-miR-20b-5p",79,119,5,71,27,49,16,6,24,51,1,0
"hsa-miR-2277-5p",4,5,3,1,1,1,0,2,4,2,0,0
"hsa-miR-125b-1-3p",0,7,1,6,1,0,0,1,0,1,1,0
"hsa-miR-199a-1-3p",54,47,11,47,19,15,5,4,9,18,0,1
"hsa-miR-3158-1-3p",15,18,2,17,0,9,7,2,5,4,0,0
"hsa-miR-4419a-5p",65,56,26,33,36,25,15,3,22,25,0,0
"hsa-miR-18a-5p",159,119,51,256,55,75,22,6,82,148,4,1
"hsa-let-7e-3p",5,4,7,3,3,1,0,0,0,0,0,0
"hsa-miR-3187-3p",12,9,3,5,9,4,2,3,1,2,0,1
"hsa-miR-7641-2-3p",347,569,183,585,268,1077,261,74,885,583,3,50
"hsa-miR-4508-5p",4,6,1,6,3,3,2,0,6,11,0,1
"hsa-miR-200a-3p",12,61,8,1175,3,10,3,19,4,15,5,16
"hsa-miR-548n-5p",31,28,7,18,10,8,8,0,5,15,1,2
"hsa-miR-1908-5p",6,3,6,4,19,0,0,1,1,1,0,0
"hsa-miR-196a-1-5p",1331,796,219,662,407,168,98,26,80,197,0,18
"hsa-miR-769-5p",404,306,338,455,297,116,156,60,93,137,18,18
"hsa-miR-3182-5p",1111,1076,466,2040,1100,2017,1273,96,2949,1598,2,45
"hsa-miR-221-3p",4137,2979,724,2300,757,351,272,51,221,459,12,28
"hsa-miR-146a-5p",38,22,9,12,2,3,0,2,4,6,0,0
"hsa-miR-7641-1-5p",57,114,72,64,95,37,45,23,53,81,0,12
"hsa-miR-494-3p",3,4,1,7,0,5,2,0,2,7,0,1
"hsa-miR-320d-1-3p",301,167,151,232,159,55,55,18,10,50,0,8
"hsa-miR-449a-5p",21,15,7,26,4,3,7,0,2,4,0,4
"hsa-miR-548a-2-3p",5,13,0,7,1,7,1,0,3,4,0,0
"hsa-miR-548h-2-5p",10,12,11,14,26,6,6,6,1,7,0,3
"hsa-miR-6516-5p",3,1,0,4,2,0,2,0,0,2,0,0
"hsa-miR-200b-5p",0,1,0,2,0,0,0,0,0,0,1,0
"hsa-miR-1303-3p",34,32,27,40,8,15,23,2,12,20,2,1
"hsa-miR-320a-3p",4681,3118,2984,2791,4151,1030,1016,464,572,1265,29,150
"hsa-miR-342-5p",11,13,1,3,9,4,3,0,1,1,0,0
"hsa-miR-200b-3p",12,64,11,972,12,15,9,25,9,7,11,41
"hsa-miR-1299-3p",2,1,4,1,4,0,0,0,0,3,0,1
"hsa-miR-30c-1-5p",650,884,288,994,353,170,189,18,369,361,23,20
"hsa-miR-301b-3p",2,2,1,5,4,3,0,1,2,1,0,1
"hsa-miR-4326-5p",5,3,4,12,10,1,3,0,7,1,0,0
"hsa-miR-589-5p",189,84,34,85,70,38,9,12,17,29,1,2
"hsa-miR-125b-2-5p",566,461,107,489,145,74,17,14,23,72,5,7
"hsa-miR-449c-5p",11,12,4,19,6,3,6,1,8,2,1,0
"hsa-miR-95-3p",56,39,25,28,44,15,17,3,4,15,1,1
"hsa-miR-548f-3-3p",6,9,3,13,23,2,7,2,2,3,0,0
"hsa-miR-7-1-5p",5766,3534,1332,6402,1919,3187,1993,299,2358,2758,56,71
"hsa-miR-3159-3p",22,32,4,33,10,21,6,4,18,27,0,3
"hsa-miR-129-1-5p",134,70,56,34,105,18,13,12,6,13,0,0
"hsa-miR-1468-5p",6,3,4,10,0,1,1,0,2,5,0,2
"hsa-miR-132-3p",147,110,44,77,46,54,10,6,11,35,0,0
"hsa-miR-192-5p",192,238,134,1541,190,166,249,48,117,204,1,11
"hsa-miR-361-3p",87,71,63,108,67,20,48,2,37,43,3,4
"hsa-miR-92a-1-3p",29826,13552,11458,13738,21370,3320,3468,1204,2414,3133,135,595
"hsa-miR-101-2-3p",2774,1649,1422,2288,2313,682,958,297,442,734,26,96
"hsa-miR-4532-5p",5,7,9,4,3,0,8,4,1,3,0,0
"hsa-miR-423-3p",7307,5544,2390,4456,2985,1427,1740,361,1041,1928,24,191
"hsa-miR-501-5p",11,11,6,12,8,4,7,0,11,4,1,1
"hsa-miR-1273d-5p",11,11,2,8,10,9,3,2,6,6,0,4
"hsa-miR-146b-5p",319,246,174,258,210,127,174,24,111,164,5,5
"hsa-miR-3118-3-3p",26,3,4,7,4,1,0,1,0,1,1,0
"hsa-miR-4324-3p",1,5,1,1,0,1,0,0,0,0,0,1
"hsa-miR-548t-3p",4,8,0,11,1,6,5,0,4,2,0,0
"hsa-miR-16-2-5p",827,760,76,795,63,151,32,11,64,128,7,6
"hsa-miR-7851-5p",15,15,4,7,2,4,1,2,9,6,0,0
"hsa-miR-455-5p",31,31,40,48,41,14,11,5,4,9,1,2
"hsa-miR-194-2-5p",40,37,6,172,7,20,1,4,23,13,0,1
"hsa-miR-424-3p",172,154,69,123,99,24,17,8,21,59,0,5
"hsa-miR-17-5p",5023,4408,660,7223,761,3774,531,204,2347,3692,38,24
"hsa-miR-101-1-3p",3347,2099,1788,2810,2978,817,1164,384,563,902,38,111
"hsa-miR-7-2-5p",5766,3536,1335,6405,1915,3187,1992,299,2359,2755,56,71
"hsa-miR-425-5p",129,105,64,128,55,40,44,8,70,55,6,4
"hsa-miR-96-5p",72,62,27,78,29,19,18,8,20,27,4,2
"hsa-miR-501-3p",617,418,147,308,183,84,75,17,70,100,2,5
"hsa-miR-550a-1-5p",12,15,1,11,9,2,3,1,8,3,0,0
"hsa-miR-183-3p",5,13,1,3,4,2,0,0,0,1,0,0
"hsa-miR-138-2-5p",10,13,14,17,6,5,6,3,0,1,0,0
"hsa-miR-4791-5p",45,107,23,172,12,115,29,6,52,41,0,2
"hsa-miR-3195-5p",4,1,0,2,0,0,4,0,0,3,0,0
"hsa-let-7a-2-5p",945,1541,493,1567,604,310,304,106,464,630,32,79
"hsa-miR-103a-2-3p",4893,5701,930,7207,1293,1238,416,90,2227,2180,71,69
"hsa-miR-873-5p",4,1,0,3,1,1,0,0,0,1,0,0
"hsa-miR-106b-3p",625,538,307,602,306,180,198,60,127,235,4,13
"hsa-miR-451a-5p",8,11,9,10,17,1,2,3,7,7,0,1
"hsa-miR-548aa-2-3p",4,8,0,11,1,6,5,0,4,2,0,0
"hsa-miR-4488-5p",1,3,6,3,11,1,1,2,5,7,0,2
"hsa-miR-26a-2-3p",2,1,4,3,8,0,1,0,2,0,0,0
"hsa-miR-548f-2-3p",6,9,3,13,23,2,7,2,2,3,0,0
"hsa-miR-25-3p",7761,4059,2375,3871,3982,979,1048,274,560,815,37,100
"hsa-miR-425-3p",26,34,21,39,13,10,29,7,10,17,0,3
"hsa-miR-1278-3p",4,12,9,10,5,6,34,4,3,4,1,0
"hsa-miR-8086-3p",72,71,3,50,16,43,15,2,25,32,2,0
"hsa-miR-193a-3p",2,0,0,2,3,0,1,3,0,0,0,0
"hsa-miR-6720-3p",16,10,1,13,6,3,3,1,4,4,0,0
"hsa-miR-340-5p",1369,1414,750,1523,1041,373,663,160,480,589,50,85
"hsa-miR-320a-5p",38,133,30,111,21,50,43,4,43,75,0,6
"hsa-let-7b-5p",36,52,38,101,51,14,31,19,15,20,6,17
"hsa-miR-199a-2-3p",54,47,11,47,19,15,5,4,9,18,0,1
"hsa-miR-181c-5p",13,7,1,6,4,1,5,0,1,5,0,0
"hsa-miR-1273g-3p",38,41,7,41,13,41,0,2,36,15,0,1
"hsa-miR-324-3p",56,63,14,66,18,16,14,2,14,19,0,0
"hsa-miR-7704-5p",5,12,5,9,12,13,11,4,11,16,0,4
"hsa-miR-486-2-5p",103,60,32,62,43,8,19,4,18,15,0,0
"hsa-miR-125b-2-3p",136,83,34,76,30,30,20,6,19,32,3,1
"hsa-let-7i-3p",1,1,0,4,0,0,0,0,0,1,0,0
"hsa-miR-378b-3p",5,8,86,5,19,2,2,2,1,1,0,0
"hsa-miR-147b-3p",16,11,7,9,19,4,1,1,0,2,0,0
"hsa-miR-29b-1-3p",19,19,13,78,6,5,8,1,3,8,0,2
"hsa-miR-1291-5p",15,22,0,16,0,10,6,0,9,21,0,0
"hsa-miR-10b-5p",11873,8288,3442,6192,4950,1736,2500,412,1337,2485,113,257
"hsa-miR-132-5p",22,20,17,16,16,1,8,3,2,5,0,0
"hsa-miR-200a-5p",0,1,0,105,1,3,1,0,0,0,0,1
"hsa-miR-30a-5p",5838,5889,4024,6318,4564,1618,3099,291,2067,1761,209,213
"hsa-miR-452-5p",262,232,53,251,87,35,14,6,19,40,0,1
"hsa-miR-660-5p",508,374,316,300,510,101,193,21,61,109,2,19
"hsa-miR-190b-5p",17,16,5,11,7,3,2,1,0,3,0,0
"hsa-miR-34a-5p",178,156,102,249,138,29,11,8,6,16,1,6
"hsa-miR-141-3p",1,4,1,31,1,1,0,0,0,1,0,3
"hsa-miR-181c-3p",8,13,13,6,17,0,7,1,1,4,0,0
"hsa-miR-454-3p",15,29,11,26,15,10,14,3,20,13,2,1
"hsa-miR-181b-1-3p",6,6,2,7,4,0,3,0,6,2,0,0
"hsa-miR-191-5p",1031,1474,523,1470,667,662,437,110,1129,1068,24,57
"hsa-miR-3605-3p",7,1,1,2,1,2,0,0,0,0,0,0
"hsa-miR-769-3p",7,3,2,8,0,4,3,0,1,1,0,0
"hsa-miR-942-5p",29,33,20,30,34,5,11,5,6,14,0,0
"hsa-miR-122-5p",379,230,229,152,452,202,245,151,56,238,1,39
"hsa-miR-215-5p",66,58,19,227,36,42,62,7,43,52,2,2
"hsa-miR-196b-3p",8,13,3,5,2,0,6,0,0,1,0,0
"hsa-miR-548aa-1-3p",4,8,0,11,1,6,5,0,4,2,0,0
"hsa-miR-941-2-3p",74,36,78,97,71,18,40,2,30,20,0,3
"hsa-miR-30e-5p",2481,2555,1433,2519,1704,562,810,94,718,624,77,79
"hsa-miR-1285-1-5p",298,475,18,308,39,274,21,5,139,206,1,1
"hsa-miR-5095-3p",13,20,3,23,3,13,4,3,12,17,0,1
"hsa-miR-1250-5p",118,154,56,51,70,27,66,6,11,19,0,3
"hsa-miR-34c-5p",455,422,202,764,332,88,32,10,16,44,2,9
"hsa-miR-193a-5p",218,124,62,88,86,12,1,4,2,14,0,1
"hsa-miR-2110-5p",25,27,19,12,31,11,10,3,4,7,0,0
"hsa-miR-126-5p",4,6,17,13,25,4,2,1,0,7,2,3
"hsa-miR-338-5p",56,63,10,26,13,6,9,2,2,12,1,1
"hsa-miR-1292-5p",6,1,3,14,3,2,4,1,8,8,0,0
"hsa-miR-1277-5p",13,10,22,13,16,3,2,2,2,8,0,0
"hsa-miR-30b-5p",45,31,17,102,28,21,9,4,19,22,4,3
"hsa-miR-941-5-3p",74,36,78,97,71,18,40,2,30,20,0,3
"hsa-miR-218-2-5p",5085,8254,6689,6571,7661,2060,7596,2467,1292,1833,168,789
"hsa-miR-1295a-3p",40,15,5,17,7,4,0,0,1,5,0,0
"hsa-miR-197-3p",32,34,10,23,10,12,13,3,14,22,1,1
"hsa-miR-1287-5p",6,10,5,12,5,2,1,0,0,5,1,0
"hsa-miR-17-3p",29,9,17,36,15,7,6,0,5,16,0,0
"hsa-miR-345-5p",139,86,52,103,53,18,25,6,29,23,1,5
"hsa-miR-144-3p",6,13,10,16,4,0,1,0,6,8,0,1
"hsa-miR-3615-3p",109,61,41,47,108,28,15,7,25,28,2,6
"hsa-miR-499a-5p",52,24,10,19,32,6,5,0,2,10,1,0
"hsa-miR-504-5p",24,19,11,26,13,10,3,0,7,11,0,1
